frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
434,7.218301,1056.219,201.016,33.0271,5320.5,True,True
435,7.234933,1056.229,201.026,33.0287,5345.0,True,True
436,7.251565,1056.208,201.006,33.0254,5357.0,True,True
437,7.268198,1056.008,200.806,32.9925,5346.0,True,True
438,7.284830,1055.958,200.756,32.9843,5361.0,True,True
439,7.301462,1056.047,200.844,32.9989,5307.5,True,True
440,7.318094,1056.057,200.854,33.0005,5344.5,True,True
441,7.334726,1056.045,200.843,32.9986,5358.0,True,True
442,7.351358,1056.106,200.903,33.0085,5356.0,True,True
443,7.367990,1056.306,201.103,33.0414,5326.0,True,True
444,7.384622,1056.167,200.964,33.0186,5350.0,True,True
445,7.401254,1056.088,200.885,33.0056,5357.0,True,True
446,7.417886,1056.299,201.096,33.0403,5354.5,True,True
447,7.434518,1056.229,201.026,33.0288,5362.5,True,True
448,7.451150,1055.989,200.786,32.9893,5380.0,True,True
449,7.467782,1055.968,200.766,32.9859,5360.0,True,True
450,7.484414,1055.968,200.766,32.9860,5357.5,True,True
451,7.501046,1056.027,200.825,32.9957,5372.5,True,True
452,7.517678,1056.316,201.114,33.0431,5345.5,True,True
453,7.534310,1056.376,201.173,33.0529,5363.5,True,True
454,7.550942,1056.455,201.252,33.0659,5334.5,True,True
455,7.567574,1056.475,201.272,33.0692,5325.0,True,True
456,7.584206,1056.386,201.183,33.0546,5295.5,True,True
457,7.600838,1055.957,200.754,32.9841,5316.5,True,True
458,7.617470,1055.797,200.594,32.9578,5340.0,True,True
